PID,State,District,N,P,K,MaxT,MinT,WindSpeed,Humidity,Precipitation,Rainfall,Season,Crop,Production,Production,Units,Yield,Crime,Quality,Import/Export,SupplyChain,Health,Profit/Loss
42,AP,wgt,12,18,32,24,14,12,65,0.3,30,Summer,Rice,5700,Kilograms,11.4,Medium,Excellent,Medium,Stable,Excellent,Positive,
43,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Rice,6300,Kilograms,12.6,High,Good,Low,Stable,Good,Positive,
44,AP,wgt,9,15,35,23,13,10,68,0.4,40,Summer,Rice,5400,Kilograms,10.8,Medium,Good,High,Stable,Good,Negative,
45,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Rice,5800,Kilograms,11.6,High,Excellent,Medium,Stable,Excellent,Positive,
46,AP,wgt,10,18,30,25,15,10,70,0.5,50,Summer,Rice,6200,Kilograms,12.4,Low,Good,High,Stable,Good,Positive,
47,AP,wgt,12,20,35,24,14,12,65,0.3,30,Summer,Rice,5900,Kilograms,11.8,Medium,Excellent,Medium,Stable,Excellent,Positive,
48,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Rice,6500,Kilograms,13,High,Good,Low,Stable,Good,Positive,
49,AP,wgt,9,15,32,23,13,10,68,0.4,40,Summer,Rice,5600,Kilograms,11.2,Medium,Good,High,Stable,Good,Negative,
50,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Rice,6000,Kilograms,12,High,Excellent,Medium,Stable,Excellent,Positive,
51,AP,wgt,10,20,30,25,15,10,70,0.5,50,Summer,Maize,4000,Kilograms,8,Low,Good,High,Stable,Good,Positive,
52,AP,wgt,12,18,32,24,14,12,65,0.3,30,Summer,Maize,3800,Kilograms,7.6,Medium,Excellent,Medium,Stable,Excellent,Positive,
53,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Maize,4200,Kilograms,8.4,High,Good,Low,Stable,Good,Positive,
54,AP,wgt,9,15,35,23,13,10,68,0.4,40,Summer,Maize,3600,Kilograms,7.2,Medium,Good,High,Stable,Good,Negative,
55,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Maize,3900,Kilograms,7.8,High,Excellent,Medium,Stable,Excellent,Positive,
56,AP,wgt,10,18,30,25,15,10,70,0.5,50,Summer,Maize,4200,Kilograms,8.4,Low,Good,High,Stable,Good,Positive,
57,AP,wgt,12,20,35,24,14,12,65,0.3,30,Summer,Maize,4000,Kilograms,8,Medium,Excellent,Medium,Stable,Excellent,Positive,
58,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Maize,4400,Kilograms,8.8,High,Good,Low,Stable,Good,Positive,
59,AP,wgt,9,15,32,23,13,10,68,0.4,40,Summer,Maize,3800,Kilograms,7.6,Medium,Good,High,Stable,Good,Negative,
60,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Maize,4100,Kilograms,8.2,High,Excellent,Medium,Stable,Excellent,Positive,
61,AP,wgt,10,20,30,25,15,10,70,0.5,50,Summer,Potato,7000,Kilograms,14,Low,Good,High,Stable,Good,Positive,
62,AP,wgt,12,18,32,24,14,12,65,0.3,30,Summer,Potato,6700,Kilograms,13.4,Medium,Excellent,Medium,Stable,Excellent,Positive,
63,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Potato,7300,Kilograms,14.6,High,Good,Low,Stable,Good,Positive,
64,AP,wgt,9,15,35,23,13,10,68,0.4,40,Summer,Potato,6300,Kilograms,12.6,Medium,Good,High,Stable,Good,Negative,
65,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Potato,6800,Kilograms,13.6,High,Excellent,Medium,Stable,Excellent,Positive,
66,AP,wgt,10,18,30,25,15,10,70,0.5,50,Summer,Potato,7300,Kilograms,14.6,Low,Good,High,Stable,Good,Positive,
67,AP,wgt,12,20,35,24,14,12,65,0.3,30,Summer,Potato,7000,Kilograms,14,Medium,Excellent,Medium,Stable,Excellent,Positive,
68,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Potato,7700,Kilograms,15.4,High,Good,Low,Stable,Good,Positive,
69,AP,wgt,9,15,32,23,13,10,68,0.4,40,Summer,Potato,6600,Kilograms,13.2,Medium,Good,High,Stable,Good,Negative,
70,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Potato,7100,Kilograms,14.2,High,Excellent,Medium,Stable,Excellent,Positive,
71,AP,wgt,10,20,30,25,15,10,70,0.5,50,Summer,Wheat,5200,Kilograms,10.4,Low,Good,High,Stable,Good,Positive,
72,AP,wgt,12,18,32,24,14,12,65,0.3,30,Summer,Wheat,5000,Kilograms,10,Medium,Excellent,Medium,Stable,Excellent,Positive,
73,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Wheat,5400,Kilograms,10.8,High,Good,Low,Stable,Good,Positive,
74,AP,wgt,9,15,35,23,13,10,68,0.4,40,Summer,Wheat,4600,Kilograms,9.2,Medium,Good,High,Stable,Good,Negative,
75,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Wheat,4900,Kilograms,9.8,High,Excellent,Medium,Stable,Excellent,Positive,

