PID,Date,N,P,K,MaxT,MinT,WindSpeed,Humidity ,Precipitation,rainfall,Season,Crop,Production,Production Units,Yield
120118,05-05-2006 00:00,61,41,17,36.6,27.8,2.4,67.4,0,76.68456006,Rabi       ,Onion,11501,Tonnes,0.418995228
120119,06-05-2006 00:00,66,53,19,36.8,27.7,2.9,55.9,0,65.49730729,Rabi       ,Ragi,604,Tonnes,0.418862691
120120,07-05-2006 00:00,74,55,19,36.8,28.1,3.1,61.7,0,84.23613484,Rabi       ,Rice,106,Tonnes,0.582417582
120121,08-05-2006 00:00,77,57,21,36.5,28.5,3,55.4,0,79.74078719,Rabi       ,Safflower,6,Tonnes,0.6
120122,09-05-2006 00:00,99,50,15,36.8,28.1,3.1,53.1,0,88.07753741,Rabi       ,Small millets,86,Tonnes,0.351020408
120123,10-05-2006 00:00,74,56,22,38.7,29.1,3.3,46.9,0,80.97573281,Rabi       ,Urad,29,Tonnes,0.353658537
120124,11-05-2006 00:00,83,45,21,38.8,29.2,3.4,64.1,0,79.7532896,Rabi       ,Wheat,244,Tonnes,0.42287695
120125,12-05-2006 00:00,100,48,16,38,28.3,3.4,56.9,0,74.51490791,Whole Year ,Arecanut,50,Tonnes,0.420168067
120126,13-05-2006 00:00,79,51,16,37.8,29.6,3.3,61.5,8.4,96.46380213,Whole Year ,Banana,293,Tonnes,0.46656051
120127,14-05-2006 00:00,94,39,18,37,29.1,2.9,54.2,0,102.8301942,Whole Year ,Coconut ,455,Tonnes,0.473958333
120128,15-05-2006 00:00,75,49,15,38.7,29.5,3,46.7,0,102.4852929,Whole Year ,Coriander,1112,Tonnes,0.610989011
120129,16-05-2006 00:00,78,48,22,35.4,29,3.1,50,7.3,70.43473609,Whole Year ,Potato,526,Tonnes,0.329780564
120130,17-05-2006 00:00,87,54,20,35.8,25.4,3.3,54.8,14.7,108.8303762,Whole Year ,Sugarcane,9,Tonnes,0.333333333
120131,18-05-2006 00:00,87,35,25,34.6,25.5,2.8,59.2,0,65.88951188,Whole Year ,Sweet potato,581,Tonnes,0.301818182
120132,19-05-2006 00:00,63,43,19,37.4,27,3.3,52.1,4.9,90.988051,Whole Year ,Tobacco,39,Tonnes,0.302325581
120133,20-05-2006 00:00,84,57,25,31.3,25.4,3.9,56.5,14.7,64.40866039,Whole Year ,Turmeric,378,Tonnes,0.165789474
120134,21-05-2006 00:00,64,35,23,37.3,26.9,3.6,55.5,0,63.03843397,Kharif,Arhar/Tur,19,Tonnes,0.168141593
120135,22-05-2006 00:00,60,46,22,39.1,28.7,3.7,56.5,0,87.9298085,Kharif,Bajra,3556,Tonnes,1.211997273
120136,23-05-2006 00:00,98,44,21,38.8,28.2,3.6,64.6,0,107.4931917,Kharif,Castor seed,313,Tonnes,1.213178295
120137,24-05-2006 00:00,75,56,18,35.4,25.8,4.2,64.2,6.5,60.95197486,Kharif,Cotton(lint),1171,Tonnes,0.494928149
120138,25-05-2006 00:00,86,55,21,33,27,4.5,59,15.9,109.7515385,Kharif,Dry chillies,21,Tonnes,0.5
120139,26-05-2006 00:00,98,35,18,36.3,27.5,4.4,70.8,0,91.76337172,Kharif,Gram,3611,Tonnes,1.667128347
120140,27-05-2006 00:00,76,57,18,34.7,27.4,3.4,65.6,10.2,94.26249353,Kharif,Groundnut,60,Tonnes,1.666666667
120141,28-05-2006 00:00,99,56,17,34.7,28.5,2.8,60.9,5.6,71.07562236,Kharif,Horse-gram,2048,Tonnes,0.92293826
120142,29-05-2006 00:00,60,44,23,35.3,27.9,3.4,58.7,4.5,76.72860067,Kharif,Jowar,1051,Tonnes,0.878762542
120143,30-05-2006 00:00,74,48,17,36.5,28.4,3.5,55.5,0,69.21803098,Kharif,Korra,2301,Tonnes,0.852853966
120144,31-05-2006 00:00,89,60,17,36.4,28.9,3.8,51.7,0,101.7004306,Kharif,Maize,76,Tonnes,0.987012987
120145,01-06-2006 00:00,69,51,23,37.5,29,5.1,55.2,0,106.6213157,Kharif,Moong(Green Gram),43,Tonnes,1
120146,02-06-2006 00:00,96,46,22,36.8,29.7,4.5,67.8,0,66.29390357,Kharif,Onion,356,Tonnes,0.849642005
120147,03-06-2006 00:00,61,60,15,36.9,28.5,4.4,66.6,3.4,91.26056654,Kharif,Other Kharif pulses,5,Tonnes,0.833333333
120148,04-06-2006 00:00,74,58,18,35.4,27.7,3.8,84.8,5.9,109.024141,Kharif,Ragi,21839,Tonnes,1.357977863
120149,05-06-2006 00:00,74,43,23,32.7,26.9,4.3,62.2,12.8,99.57981207,Kharif,Rice,268,Tonnes,1.360406091
120150,06-06-2006 00:00,63,43,17,35,27.2,3.5,66.2,0,71.3195307,Kharif,Small millets,2514,Tonnes,1.802150538
120151,07-06-2006 00:00,99,36,20,38.6,29.1,3.7,59.1,0,78.34604471,Kharif,Sunflower,2746,Tonnes,1.80183727
120152,08-06-2006 00:00,77,36,23,39.3,29.2,4.1,57.7,0,88.45361858,Kharif,Urad,2814,Tonnes,0.981856246
120153,09-06-2006 00:00,87,60,23,39.8,29.5,4.6,53.7,0,62.50351892,Rabi       ,Arhar/Tur,661,Tonnes,0.980712166
120154,10-06-2006 00:00,60,38,17,37.6,28.7,4,55.8,0,76.41312437,Rabi       ,Bajra,3829,Tonnes,0.88388735
120155,11-06-2006 00:00,94,54,17,39.1,29,4.4,54.9,0,107.3198135,Rabi       ,Dry chillies,877,Tonnes,0.884072581
120156,12-06-2006 00:00,95,38,22,39.2,28.9,4,56.9,0,100.7689246,Rabi       ,Gram,220,Tonnes,0.467091295
120157,13-06-2006 00:00,84,44,21,37.1,28.2,3.6,53.4,0,107.2681929,Rabi       ,Groundnut,156,Tonnes,0.472727273
120158,14-06-2006 00:00,77,58,19,36.2,28.8,3.7,48.9,12.7,101.5952794,Rabi       ,Horse-gram,574,Tonnes,0.611288605
120159,15-06-2006 00:00,66,44,20,39.3,29.3,3.4,50.8,0,80.72515943,Rabi       ,Jowar,58,Tonnes,0.467741935
120160,16-06-2006 00:00,63,35,16,38.1,29.1,2.8,48.3,3.4,83.73280082,Rabi       ,Linseed,34,Tonnes,0.465753425
120161,17-06-2006 00:00,79,45,20,38.8,28.6,2.9,57,0,89.9622014,Rabi       ,Maize,138,Tonnes,0.47260274
120162,18-06-2006 00:00,72,60,25,38.6,28.8,2.7,56.7,4.5,88.10234397,Rabi       ,Moong(Green Gram),11,Tonnes,0.458333333
120163,19-06-2006 00:00,67,51,24,37.4,28,2.8,52.6,4.5,64.77791424,Rabi       ,Onion,412,Tonnes,0.61037037
120164,20-06-2006 00:00,86,36,24,36.6,28.1,3,60.8,0,73.33636055,Rabi       ,Other  Rabi pulses,37,Tonnes,0.606557377
120165,21-06-2006 00:00,76,48,18,31.1,25.6,2,72.3,18.7,83.21030571,Rabi       ,Ragi,14,Tonnes,1.4
120166,22-06-2006 00:00,75,53,18,33.5,26.5,1.9,72,0,103.651438,Rabi       ,Rice,11062,Tonnes,0.793999426
120167,23-06-2006 00:00,81,45,23,33.1,27.9,2.2,70.5,21.6,84.22969177,Rabi       ,Safflower,146,Tonnes,0.793478261
120168,24-06-2006 00:00,73,45,21,34.2,26.4,2.8,70.7,10.8,96.59195302,Rabi       ,Sesamum,6863,Tonnes,0.662963679
120169,25-06-2006 00:00,71,35,24,34.5,27.2,3.6,68.4,5.4,67.96704792,Rabi       ,Urad,240,Tonnes,0.662983425
120170,26-06-2006 00:00,96,54,22,35.6,27.3,4.1,67.7,0,83.20711308,Rabi       ,Wheat,17707,Tonnes,1.196985061
120171,27-06-2006 00:00,99,39,18,35.3,27.4,4.3,68.5,4.5,87.85092352,Whole Year ,Arecanut,282,Tonnes,1.194915254
120172,28-06-2006 00:00,62,48,20,30.8,26.8,3.4,75.9,22.7,95.71388473,Whole Year ,Banana,8617,Tonnes,0.480002228
120173,29-06-2006 00:00,86,37,16,30.1,26.2,4.1,69.9,13.6,67.61013737,Whole Year ,Coconut ,14,Tonnes,0.482758621
120174,30-06-2006 00:00,94,50,19,31.8,26.8,5,74.9,4.5,97.59081274,Whole Year ,Coriander,6498,Tonnes,0.551004833
120175,01-07-2006 00:00,76,39,24,32.4,26.6,4.6,67,19.5,64.23845455,Whole Year ,Sugarcane,1,Tonnes,1
120176,02-07-2006 00:00,77,52,17,29.1,26.8,4.9,62.7,20.8,75.82270467,Whole Year ,Sweet potato,6671,Tonnes,0.580036519
120177,03-07-2006 00:00,74,39,23,30.5,26.9,5.5,69,20.8,88.17251033,Whole Year ,Tobacco,28,Tonnes,0.583333333
120178,04-07-2006 00:00,81,49,20,32,27.8,4.9,83.3,6.5,104.2321615,Whole Year ,Turmeric,406,Tonnes,0.466666667
120179,05-07-2006 00:00,63,42,21,34.7,27.8,5,56.6,0,67.10225139,Kharif,Arhar/Tur,279,Tonnes,0.474489796
120180,06-07-2006 00:00,99,38,21,35.5,27.7,4.7,62.5,0,67.72777298,Kharif,Bajra,406,Tonnes,0.610526316
120181,07-07-2006 00:00,90,52,25,36.4,28.2,4.7,68.8,0,103.2234212,Kharif,Castor seed,5,Tonnes,0.555555556
120182,08-07-2006 00:00,68,40,19,37.2,29.6,4.9,63.8,0,107.2361366,Kharif,Cotton(lint),4325,Tonnes,0.441957899
120183,09-07-2006 00:00,60,57,24,36.4,29.5,5.2,63.2,0,75.03247667,Kharif,Dry chillies,11,Tonnes,0.458333333
120184,10-07-2006 00:00,71,52,18,36.5,29.5,5,64.4,0,78.16077693,Kharif,Groundnut,6235,Tonnes,0.412995959
120185,11-07-2006 00:00,61,59,17,36.7,29,4.7,68.6,0,105.0083144,Kharif,Horse-gram,13438,Tonnes,0.626977091
120186,12-07-2006 00:00,88,38,15,35.5,28,4.4,72.6,0,62.49190812,Kharif,Jowar,3,Tonnes,0.6
120187,13-07-2006 00:00,65,60,22,36.9,28.9,5,69.9,0,107.9124111,Kharif,Korra,2618,Tonnes,0.467082962
120188,14-07-2006 00:00,78,37,22,34.1,27.5,4.9,69.8,10.5,74.52082026,Kharif,Maize,2134,Tonnes,0.473906285
120189,15-07-2006 00:00,78,58,15,33.8,27,5,63.7,10.5,62.91359494,Kharif,Moong(Green Gram),2919,Tonnes,0.610925073
120190,16-07-2006 00:00,92,60,23,36.5,28.5,4.4,66.6,0,69.93293255,Kharif,Onion,9786,Tonnes,1.228008533
120191,17-07-2006 00:00,79,59,17,36.4,28.9,4.8,62.4,0,108.5054416,Kharif,Other Kharif pulses,880,Tonnes,1.227336123
120192,18-07-2006 00:00,91,55,15,36.6,27.6,4.4,73.8,0,78.96159541,Kharif,Ragi,9378,Tonnes,0.932021467
120193,19-07-2006 00:00,76,51,18,36.3,27.7,4.2,76.9,0,79.84925393,Kharif,Rice,185,Tonnes,0.934343434
120194,20-07-2006 00:00,87,48,25,34.6,28.6,4.4,77.4,13.2,93.62039175,Kharif,Small millets,37324,Tonnes,1.405006588
120195,21-07-2006 00:00,71,60,22,32.6,27,4.5,76.3,34.6,85.75692395,Kharif,Soyabean,93,Tonnes,1.409090909
120196,22-07-2006 00:00,90,57,24,32.7,24.7,4.5,76.2,11.5,82.34162918,Kharif,Sunflower,330,Tonnes,0.467422096
120197,23-07-2006 00:00,67,35,22,32.8,26,4.2,74.9,5.8,108.7603001,Kharif,Urad,16,Tonnes,0.470588235
120198,24-07-2006 00:00,60,54,19,34.6,27.3,3.6,74.9,0,70.23401597,Rabi       ,Bajra,328,Tonnes,0.474674385
120199,25-07-2006 00:00,83,58,23,30,26.7,3.6,78.3,0,65.50861389,Rabi       ,Dry chillies,,Tonnes,0
